Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Rep.",COG,3397.586071,3684.100083,4770.057891,4675.456706,4879.038556,5125.450614,5482.111376,5632.435875,5800.420578,5939.537017,6276.750618,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Costa Rica,CRI,4712.559231,7588.726,10638.83689,11624.96873,12011.73098,11823.19203,12402.95929,13072.14256,13833.10563,14360.46661,14918.07725,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cote d'Ivoire,CIV,2081.512055,2360.206139,2478.838227,2538.131677,2598.689986,2645.430634,2671.139553,2546.906812,2802.411814,3031.677947,3258.232592,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Croatia,HRV,..,11057.35468,17019.72,18923.49537,20464.44558,19399.37573,18968.8586,20571.24751,21113.61513,21314.12475,21210.27819,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cuba,CUB,8851.151197,8948.602699,14626.52465,16093.62914,17075.49136,17443.36295,18061.00964,18924.76327,19811.86343,20611.03968,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cyprus,CYP,13204.96775,20732.15237,29724.58076,31770.1526,34825.61601,34098.76694,33934.39183,32983.11391,32553.54373,31198.09814,30873.18428,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Czech Republic,CZE,12731.22535,16286.82095,24415.8833,26683.19771,27111.5482,27017.45426,27050.95782,28604.21266,28631.52411,28952.85227,30407.44795,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Denmark,DNK,18795.2983,29566.18624,37189.65988,38674.40958,40838.18875,39624.81116,41806.92999,43314.05636,43560.06035,43782.16505,44916.4084,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Djibouti,DJI,2011.669583,1677.661256,2158.330859,2298.569959,2447.953808,2557.639707,2644.628229,2782.971292,2930.885121,3081.79134,3270.410946,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Dominica,DMA,4344.91509,6472.655571,8337.973419,9090.500959,9909.982673,9852.901319,10016.24637,10189.39821,10201.58161,10368.77642,10877.3311,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Dominican Republic,DOM,3440.597792,6379.557666,8882.589787,9753.360241,10116.64652,10150.61626,10981.1766,11375.62039,11734.65563,12325.13657,13262.29577,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ecuador,ECU,4829.419559,5855.634754,8110.479754,8366.130132,8920.477364,8889.192349,9163.157909,9926.952496,10507.60315,10977.61479,11371.66365,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Egypt, Arab Rep.",EGY,3887.012445,5989.310491,7895.432778,8531.189198,9158.895436,9484.708815,9897.243298,10071.20526,10247.60523,10382.93311,10529.9237,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,El Salvador,SLV,2929.366635,5092.548588,6702.272962,7122.336318,7332.798993,7136.595021,7301.806597,7596.509131,7856.246818,8097.381273,8351.116739,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Equatorial Guinea,GNQ,682.5419066,9246.230685,33971.38746,37967.79305,41281.93576,38533.80412,36402.90072,36754.81047,38403.31592,35369.56039,34739.0821,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Eritrea,ERI,..,1277.345054,1365.039126,1388.505245,1250.467298,1282.33385,1299.289891,1411.157638,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Estonia,EST,..,9709.531307,19311.06844,21838.61604,22508.92841,20212.65379,21098.57229,23954.86597,25253.50293,26203.80513,26945.74626,..
