K,split,accuracy
9,0.04,97.72262026612077
9,0.04,98.56428662991924
9,0.04,97.27656309934791
9,0.04,98.08802771718209
9,0.04,97.87859424920129
10,0.04,98.29705505761844
10,0.04,97.13920817369093
10,0.04,98.16549069916614
10,0.04,98.72057318321393
10,0.04,97.5295934122491
10,0.04,98.33971902937421
10,0.04,98.33397411252082
10,0.04,98.24268855823499
10,0.04,97.98795335127515
10,0.04,98.18251631895558
1,0.05,98.5631067961165
1,0.05,98.4740721582827
1,0.05,98.62836438923395
1,0.05,98.20041429311239
1,0.05,98.44337787002205
1,0.05,97.86165142341878
1,0.05,98.02936630602782
1,0.05,98.74531108524124
1,0.05,98.8
1,0.05,98.13688704877734
2,0.05,98.32554517133957
2,0.05,98.02802283341983
2,0.05,97.10556919498643
2,0.05,98.14910691172663
2,0.05,96.15583075335398
2,0.05,97.35751295336787
2,0.05,98.03083300945718
2,0.05,98.08439037017862
2,0.05,98.26008506250805
2,0.05,97.724039829303
3,0.05,98.77181641887525
3,0.05,98.12782440284055
3,0.05,98.54325125692922
3,0.05,98.7088444157521
3,0.05,98.86098886875484
3,0.05,98.80332986472425
3,0.05,98.59300374338453
3,0.05,98.1299974206861
3,0.05,98.60284605433375
3,0.05,98.54362675602526
4,0.05,97.03444703444704
4,0.05,98.06201550387597
4,0.05,98.80705394190872
4,0.05,98.31294269156471
4,0.05,98.78631375080698
4,0.05,98.7582460225068
4,0.05,98.86480908152735
4,0.05,98.6496913580247
4,0.05,98.7171180510561
4,0.05,98.68624420401855
5,0.05,98.29302987197724
5,0.05,98.81060116354234
5,0.05,98.55166170955644
5,0.05,98.96440129449839
5,0.05,98.86304909560724
5,0.05,98.46952010376135
5,0.05,98.90520350334879
5,0.05,98.48700375016165
5,0.05,98.56681730148483
5,0.05,98.41249354672173
6,0.05,98.21544032070348
6,0.05,98.78694025035489
6,0.05,98.69677419354839
6,0.05,98.60968074150361
6,0.05,98.8502777418938
6,0.05,98.83525300892973
6,0.05,98.6808070356958
6,0.05,98.77545759216292
6,0.05,98.87130254281267
6,0.05,98.26424870466322
7,0.05,98.81428019074623
7,0.05,98.71233582281741
7,0.05,97.99614643545279
7,0.05,98.80751782242385
7,0.05,98.7147864468389
7,0.05,98.83585564610011
7,0.05,98.12734082397003
7,0.05,98.85235332043843
7,0.05,98.5027991146986
7,0.05,98.50650186687267
8,0.05,98.33117723156532
8,0.05,98.38919199792154
8,0.05,98.57642034424744
8,0.05,98.15608362550317
8,0.05,98.79736195525669
8,0.05,98.67772880477055
8,0.05,98.87115609186455
8,0.05,98.6482973745776
8,0.05,98.8262608022701
8,0.05,98.10126582278481
9,0.05,98.43669250645995
9,0.05,98.70951090463286
9,0.05,98.36872087001554
9,0.05,97.12591828843922
9,0.05,98.62095630880268
9,0.05,98.61774964474874
9,0.05,98.32084732627227
9,0.05,98.41681806384635
9,0.05,98.04175852677992
9,0.05,98.76224858174317
10,0.05,97.28822314049587
10,0.05,98.64568554108088
10,0.05,98.64112851041801
10,0.05,97.80446855224073
10,0.05,98.07094769549455
10,0.05,97.95918367346938
10,0.05,98.78395860284606
10,0.05,98.77810997010269
10,0.05,98.47110650427572
10,0.05,98.82307294361097
